Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-06-23 07:12:45,false,"Run","10.22","696","01:03:41","139","169","3.5","157","162","6:14","4:37","67","67","1.02","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","No","02:00.00","12","30.0","01:03:39","01:03:41","42","75"
Running,2023-06-21 23:55:59,false,"Easy Run","5.41","412","00:35:13","145","164","3.2","151","157","6:30","5:48","30","45","1.02","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","No","02:00.00","7","31.0","00:35:12","00:35:13","39","70"
Running,2023-06-20 21:31:51,false,"Easy Run","3.78","278","00:23:59","145","166","3.0","153","157","6:20","5:25","14","37","1.03","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","No","01:19.90","6","30.0","00:23:57","00:23:59","50","73"
Running,2023-06-19 22:40:57,false,"Tired Run","7.03","430","00:41:01","135","163","3.1","160","166","5:50","4:39","41","46","1.07","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","No","02:00.00","9","30.0","00:40:58","00:41:01","40","73"
Running,2023-06-16 07:08:59,false,"Run","13.44","1,035","01:23:10","158","174","4.9","156","160","6:11","4:29","86","83","1.04","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","24.0","0:00","No","02:00.00","15","30.0","01:23:07","01:23:10","44","75"
Running,2023-06-14 23:29:06,false,"Easy Run","7.01","519","00:45:20","144","184","3.5","151","166","6:28","5:31","41","52","1.03","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","No","02:00.00","9","29.0","00:45:19","00:45:20","44","73"
Running,2023-06-13 00:08:34,false,"Easy Run","5.45","409","00:34:11","147","171","3.4","151","157","6:17","4:57","29","44","1.05","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","No","00:01.91","8","30.0","00:34:07","00:34:15","41","70"
Running,2023-06-08 21:51:03,false,"Run","10.24","778","01:05:31","146","156","3.7","151","156","6:24","5:14","65","68","1.04","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","No","00:03.68","13","30.0","01:05:28","01:05:32","42","74"
Running,2023-06-07 23:47:21,false,"Benchmark Run","1.55","93","00:09:02.6","127","142","1.6","163","177","5:50","4:59","3","6","1.05","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","No","00:02.63","4","30.0","00:09:02","00:09:05.5","67","74"
Running,2023-06-06 21:18:00,false,"Running","5.01","359","00:31:17","140","159","3.0","154","157","6:15","4:41","30","36","1.04","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","23.0","0:00","No","00:02.91","6","29.0","00:31:16","00:31:17","42","70"
